,track_id,danceability,energy,key,loudness,mode,valence,tempo,time_signature,era,era_encode
4491,06I2VgD4Dhdmjy5CIWoexY,0.704,0.237,7.0,-19.842,0.0,0.807,116.082,4.0,baroque,0.0
4492,79lhlWG2IhUNyHcwQw4r3D,0.276,0.0108,5.0,-20.389,0.0,0.157,167.603,3.0,baroque,0.0
4493,2IYzYOSwLdiKe677jgWNry,0.453,0.344,7.0,-14.069,0.0,0.547,96.7,4.0,baroque,0.0
4494,4Nr4mO6p2UYXZTaxYwLdPZ,0.573,0.349,9.0,-15.493,0.0,0.828,135.07,4.0,baroque,0.0
4495,2lcA0JNJrUtcQxgcw6yxhY,0.525,0.2,6.0,-18.487,0.0,0.633,127.172,4.0,baroque,0.0
4496,7j2nG8U4s0tL9C7TSdcpYz,0.421,0.233,1.0,-18.662,1.0,0.483,142.891,3.0,baroque,0.0
4497,6U2a8dqfnYbUC03quVQ2xV,0.478,0.0601,10.0,-24.154,0.0,0.559,97.488,1.0,baroque,0.0
4498,3xRi4hfFolfZ5zA1mTPyq9,0.584,0.208,11.0,-22.517,1.0,0.962,124.882,4.0,baroque,0.0
4499,0SAybij0tZhZ6l7G4g748k,0.175,0.0906,10.0,-21.442,0.0,0.0875,79.704,4.0,baroque,0.0
4500,72qGFmC3sMZ8PAWSd58696,0.297,0.0337,2.0,-24.489,1.0,0.282,72.148,4.0,baroque,0.0
4501,1fOAYS3ZOX359hCisKRJmX,0.527,0.163,11.0,-17.898,0.0,0.716,73.016,4.0,baroque,0.0
4502,0H2tgEcir9tbVPkmwxxet0,0.537,0.238,7.0,-15.231,1.0,0.734,135.289,4.0,baroque,0.0
4503,77txmSMtgjwbLqkN19ojE2,0.488,0.227,4.0,-17.377,1.0,0.615,110.448,4.0,baroque,0.0
4504,6a9eLYoW6Mv1EdXnqn3LkZ,0.387,0.0142,0.0,-28.451,0.0,0.165,98.002,4.0,baroque,0.0
4505,1hBRt7jEhFuOuA5HJMnnZV,0.399,0.231,6.0,-16.328,0.0,0.458,124.165,4.0,baroque,0.0
4506,4VYdvBsNiYzOPZ3vyguKUB,0.225,0.0186,7.0,-30.117,1.0,0.0853,113.511,4.0,baroque,0.0
4507,4ANWFW9WlDvUjWZL8NOvim,0.504,0.0748,7.0,-21.194,1.0,0.528,132.305,4.0,baroque,0.0
4508,5d69KfZNPiFQElGu08YJ2W,0.433,0.24,1.0,-16.678,1.0,0.695,145.31,3.0,baroque,0.0
4509,2k2XuwFljhXhfgRWRIG4mM,0.264,0.0979,6.0,-20.105,0.0,0.143,82.066,4.0,baroque,0.0
4510,5iYIcFsz48UBuzQwMY6eKG,0.0806,0.00268,8.0,-40.643,1.0,0.0315,170.001,4.0,baroque,0.0
4511,6ZndEIkt5vcrrNxMB8BBMO,0.21,0.132,9.0,-25.02,1.0,0.0325,112.46,4.0,baroque,0.0
4512,3tTvK0wmaETMKdSpKkpQaq,0.336,0.0377,1.0,-25.018,0.0,0.156,104.263,3.0,baroque,0.0
4513,25tW4WswmCH4dHfkU36ooI,0.218,0.0516,5.0,-27.111,1.0,0.17,71.954,4.0,baroque,0.0
4514,4v1smPHWajflKbBfzMOK7L,0.224,0.0126,11.0,-33.578,0.0,0.0333,69.019,3.0,baroque,0.0
4515,410uVikZ2PNa18LnS5kEk1,0.448,0.116,7.0,-19.351,0.0,0.385,120.287,4.0,baroque,0.0
4516,4997Gt7XKZHg0dmgMwipWh,0.558,0.237,5.0,-21.127,1.0,0.737,107.084,4.0,baroque,0.0
4517,1mJOlXcm2fTpq4M0QM7ka6,0.227,0.0526,2.0,-24.505,1.0,0.0394,71.237,4.0,baroque,0.0
4518,2ekFEzXwDnRoNSHPqwAgk0,0.658,0.00643,1.0,-21.311,1.0,0.197,74.991,4.0,baroque,0.0
4519,68eSaJLvWCUvL77aLgxZkG,0.398,0.092,9.0,-23.268,1.0,0.325,56.63,4.0,baroque,0.0
4520,0qFJqRJvygnZdZv4Lk25ib,0.333,0.0979,7.0,-19.477,0.0,0.283,102.69,4.0,baroque,0.0
4521,7N254PH8NMjIMDGSBWbZoQ,0.541,0.245,8.0,-16.23,1.0,0.513,93.06,4.0,baroque,0.0
4522,4pGDYyT73oQdMXitxvQslT,0.208,0.0764,0.0,-20.24,1.0,0.066,75.223,4.0,baroque,0.0
4523,0bruWywcbaIIChDHZgF6aU,0.161,0.205,1.0,-19.112,0.0,0.217,142.016,3.0,baroque,0.0
4524,3TmHdsIX18Lwcn5lizHXmx,0.446,0.0834,6.0,-25.315,0.0,0.153,114.989,4.0,baroque,0.0
4525,3iI2FxE34tmfwzFXoXuhjp,0.293,0.106,1.0,-18.944,1.0,0.349,104.045,5.0,baroque,0.0
4526,38sNb9LzNJlyZhQmR8IpAH,0.574,0.268,1.0,-18.196,1.0,0.772,121.62,4.0,baroque,0.0
4527,5VoeGWWFvGCCwlp1UdZije,0.199,0.0387,3.0,-27.118,1.0,0.25,131.931,1.0,baroque,0.0
4528,0GYneYUkI1iDbyoEMhTy4m,0.119,0.0153,11.0,-30.805,1.0,0.032,95.476,3.0,baroque,0.0
4529,6sSNmcKRKu2H1tDKaEPB9b,0.184,0.036,2.0,-29.389,0.0,0.0566,89.04,1.0,baroque,0.0
4530,7w9vifTveCpvlbPSO3KU0k,0.521,0.198,1.0,-16.782,0.0,0.419,120.344,4.0,baroque,0.0
4531,2LUerQQuZ2jKtQPea5WnYu,0.58,0.257,2.0,-15.471,1.0,0.781,99.449,4.0,baroque,0.0
4532,64LSPfq993BwJtUnW5WnOM,0.188,0.0506,2.0,-28.272,1.0,0.0384,71.09,4.0,baroque,0.0
4533,4e5EGDK8rKHSVy3SeaSOxX,0.281,0.0231,5.0,-27.108,1.0,0.0636,126.222,5.0,baroque,0.0
4534,5FvOdiAvimmlXO5Ar1tyTE,0.213,0.0639,7.0,-20.759,0.0,0.1,75.973,4.0,baroque,0.0
4535,18PbRXP2QK3FBWKHJ4mJzG,0.53,0.389,10.0,-12.779,1.0,0.704,101.03,4.0,baroque,0.0
4536,68d50BYxkfZw7vikajLHE0,0.331,0.167,3.0,-14.793,1.0,0.103,97.875,4.0,baroque,0.0
